index,limit,speaker,original,translation
0,61,0,"If we keep this up, we'll be able\nto defeat the Dark Masters!",
1,31,0,And peace will return to Earth!,
2,15,0,"Okay, let's go!",
3,16,0,I've had enough!,
4,22,0,Huh? What did you say?,
5,58,0,I've had enough of this. Why do we\nhave to keep fighting?!,
6,8,0,What...?,
7,60,0,"Taichi, at least consider other\npeople's feelings for a bit!",
8,29,0,And what do you mean by that?,
9,38,0,You're right about what you just\nsaid.,
10,95,0,"But you know, just because you're\nright doesn't mean you can just\npush aside people's feelings!",
11,9,0,Yamato...,
12,61,0,I know the only thing we can do is\nto keep pushing forward...,
13,84,0,Don't you ever want to stop and\nconsider everything that's gong on\nonce in a while?!,
14,36,0,But we can't save the world this way,
15,32,0,"I understand how Mimi feels, too",
16,33,0,We don't have time to sit around!,
17,14,0,I *know* that!,
18,14,0,Do you really?,
19,7,0,Taichi!,
20,31,0,"Please, stop. Everyone's upset.",
21,62,0,"We stand out too much as it is, so\nlet's move somewhere safer.",
22,17,0,(Was I wrong...?),
23,33,0,(Why won't Yamato believe me...?),
24,51,0,(It's not like I'm wrong! Why\ndoesn't he get that?),
25,46,0,"(Soon we won't even have time to\nrest, huh...)",
26,29,0,(What happened to Yamato...?),
27,77,0,"(At this rate, nobody's going to\nbe able to agree with each other\nanymore...)",
28,38,0,(We have to find someplace to\nrest...),
29,21,0,(Everyone's tired...),
30,41,0,Hey! Why don't we take a break for\na bit?,
31,8,0,I agree!,
32,7,0,Yeah...,
33,35,0,I should talk to everyone for a bit,
34,32,0,We should get going and leave...,
35,87,0,"We have to stop Mimi from saying\ntoo much, before she gets all of\nus to start fighting.",
36,63,0,"Right now we're in a bad\nsituation, so everyone's feeling\ndown.",
37,44,0,"Sorry, Taichi. If we'd only been\nstronger...",
38,83,0,"You're already doing enough,\nAgumon. Now we just have to work\ntogether and survive.",
39,31,0,That's all we can do. I *know*.,
40,7,0,Really?,
41,87,0,"Looks like there aren't any\nenemies around here... I'd like it\nto stay that way, but...",
42,35,0,"Sorry for making you worry,\nSora...",
43,95,0,"Everyone is anxious... It would be\nbetter for us to know where the\nenemy will move next, but...",
44,45,0,"Yeah. But you should rest for now,\nKoushirou.",
45,83,0,"Ever since we came back to the\nDigimon world, someone's always\nbeen getting hurt...",
46,70,0,"But we have to keep fighting, or\nelse both worlds will be in\ndanger...",
47,37,0,"I know, but... I can't fight\nanymore.",
48,61,0,"Sorry, Taichi... I've been saying\nall these selfish things...",
49,7,0,Mimi...,
50,56,0,Why does Yamato keep getting into\nfights with Taichi...?,
51,9,0,Takeru...,
52,72,0,The Dark Masters are all\nUltimates. The fight's only gonna\nget harder...,
53,38,0,"Can't you evolve to Ultimate,\nGomamon?",
54,68,0,"If you keep pushing me like that,\nit's only gonna get harder for me!",
55,21,0,"Yeah, you're right...",
56,67,0,I think everyone's tired because\nthey've been fighting for so long.,
57,62,0,"Yeah, everyone seems to have\ngotten tired of all the fighting.",
58,53,0,Let's do our best to not add onto\neveryone's burdens.,
59,24,0,"Yeah, what Tailmon said.",
60,63,0,"I'm glad you're working hard, but\ndon't push yourself too much.",
61,42,0,"It'll be fine! I'm your sister,\nafter all.",
62,38,0,Guys! Let's hurry and get out of\nhere!,
63,78,0,"Taichi, don't go deciding things\non your own. Can't you tell\neveryone's tired?",
64,41,0,Stop trying to be difficult all\nthe time!,
65,6,0,What?!,
66,31,0,"Yamato, don't fight with him...",
67,9,0,Takeru...,
68,72,0,"At this rate, they'll get us! Our\nenemies will be able to track us\ndown!",
69,18,0,Now you just wait!,
70,25,0,?! Taichi... disappeared?,
71,14,0,Where'd he go?,
72,17,0,"Mimi's gone, too!",
73,20,0,"Where are you, Mimi?",
74,6,0,Sora?!,
75,33,0,"Koushirou's up and vanished, too!",
76,5,0,Jou?!,
77,8,0,Hikari?!,
78,18,0,Everyone's gone...,
79,54,0,"Takeru... I'll make sure to\nprotect you, and only you!",
80,66,0,"Hey, Yamato... How come you're\nalways giving me special\ntreatment?",
81,8,0,Takeru?!,
82,67,0,I came here so I could fight with\nyou. Am I really that unreliable?,
83,69,0,Takeru... that's not what I\nmeant... I... what I wanted to say\nwas...,
84,5,0,What?,
85,10,0,W...What?!,
86,5,0,Huh?!,
87,19,0,What just happened?,
88,40,0,This must be... the work of the\nenemy...,
89,25,0,Aaaaah! What's going on?!,
90,22,0,Huh? Where's Tailmon?!,
91,11,0,Aaaaaaaagh!,
92,7,0,Taichi!,
93,20,0,Where'd everyone go?,
94,80,0,Sitting around like this isn't\ngoing to get us anywhere. Let's go\nlook for them!,
95,32,0,Got it! I'll go look for Takeru!,
96,20,0,I'll... wait here...,
97,31,0,"Koushirou, wait here with Mimi!",
98,43,0,Understood! I'll leave the rest to\nyou all!,
99,57,0,"Takeru, are you okay?! You're not\nhurt anywhere, are you?",
100,42,0,"Hey, can you stop fussing so much\nover me?",
101,36,0,"I can take care of myself, you\nknow!",
102,9,0,Takeru...,
103,15,0,Let's plaaaaay!,
104,8,0,Who's...,
105,15,0,Let's plaaaaay!,
106,29,0,That voice is getting closer!,
107,11,0,Let's play!,
108,10,0,You're...!,
109,62,0,"If you lay even one finger on\nTakeru, I'll make you regret it!",
110,64,0,"Hmph, so your name's Takeru? Hey,\ndo you wanna play war with me?",
111,28,0,Takeru! Don't listen to him!,
112,23,0,I don't care about you!,
113,7,0,Ugh...!,
114,7,0,Yamato!,
115,15,0,"Okay, let's go.",
116,5,0,N-No!,
117,54,0,You don't wanna? Hmph...\nIt'll be boring without you…,
118,40,0,Maybe I should kill this one over\nhere~!,
119,6,0,Don't!,
120,29,0,"So you'll come with me, then?",
121,49,0,"I'll go with you. That's all I\nhave to do, right?",
122,7,0,Takeru!,
123,24,0,So now you have to come!,
124,15,0,Gh... Takeru...,
125,37,0,"Hey, Sora. This place looks\nfamiliar!",
126,53,0,You're probably right... is this\nthe forest entrance?,
127,17,0,"Yeah, I think so!",
128,7,0,Taichi!,
129,5,0,Sora!,
130,18,0,"Hey, it's you two!",
131,21,0,Great job finding us!,
132,31,0,I was following Taichi's scent!,
133,40,0,"All right, let's go look for the\nothers.",
134,5,0,Yeah!,
135,46,0,"Taichi, wrong way! We have to find\nthe others!",
136,25,0,"Sorry, sorry! I'm coming!",
137,7,0,Taichi!,
138,5,0,Sora!,
139,21,0,I'm glad you're safe!,
140,34,0,"Good, good! Let's find the others!",
141,28,0,"Okay. First, let's play tag!",
142,40,0,Hurry up and run! Otherwise it's\nboring!,
143,7,0,O-Okay!,
144,11,0,Who's that?,
145,19,0,I wonder who he is?,
146,45,0,Must be a one of Lord\nPinocchimon's new toys.,
147,34,0,"Hey, hey! Has Takeru come by here?",
148,31,0,"Takeru? Ah, he went that way...",
149,14,0,He's not here!,
150,33,0,I could have sworn he was just...,
151,6,0,Liar!!,
152,6,0,Ugh...,
153,5,0,Gh...,
154,28,0,"Man, you grate on my nerves!",
155,28,0,"Man, you grate on my nerves!",
156,49,0,This is most likely the work of\nthe Dark Masters.,
157,49,0,They're probably planning a\ndivide-and-conquer...,
158,59,0,That means we have to hurry up and\njoin up with the others!,
159,5,0,Yeah!,
160,45,0,Huh...? We were just here not too\nlong ago...,
161,97,0,"There's something strange about\nthis forest! No matter where we\ngo, the landscape looks familiar.",
162,45,0,Do you think... we might be being\nled astray?,
163,47,0,"Yeah... let's keep going, and\nlet's be careful!",
164,25,0,Ughhhh! What's going on?!,
165,99,0,"It seems like if we don't proceed\non the correct route, we'll be\nsent back to where we were before.",
166,57,0,"So if we go back, we'll eventually\nbe able to go forward?",
167,60,0,"This isn't working... Koushirou,\nis there any way we can go?",
168,53,0,"Got it, Taichi! Proceed in the\norder of → ↓ ← ↑ !",
169,27,0,Ugh! We ended up back here.,
170,60,0,"Please calm down, Taichi. The\ncorrect route is → ↓ ← ↑ .",
171,20,0,It's Jou and Hikari!,
172,7,0,Taichi!,
173,93,0,"Ah... thank goodness you're here,\nTaichi! We've been wandering\naround in circles for a while.",
174,50,0,"Huh? Really? We haven't gotten\nlost at all, but...",
175,56,0,"Well, it's good that we ran into\neach other by accident!",
176,51,0,"Anyway, now we just have to find\nYamato and Takeru.",
177,56,0,Yes... I'm worried about Yamato\nand Takeru. Let's hurry!,
178,7,0,Aaaah!!,
179,13,0,Aaaaaaaaaaah!,
180,14,0,Heh heh heh...,
181,57,0,"Okay, let's start with your legs!\nHuh? I'm out of ammo...",
182,83,0,"(If I don't do something, I'll be\ndone for! I've got to do\nsomething! Something...)",
183,37,0,"Man, this is getting really\nboring...",
184,23,0,What did you just say?!,
185,85,0,We've just been doing the same\nthing over and over again. You're\nsurprisingly boring.,
186,61,0,"What?! Nobody's ever said that to\nme before, not even once!",
187,51,0,Huh... Could it be that you don't\nhave any friends?,
188,17,0,I-I have friends!,
189,44,0,Okay. So can I meet these\nso-called friends?,
190,14,0,Not right now!,
191,56,0,"Huuuuuh? So you really don't have\nthem after all, right?",
192,46,0,"I do! I'll bring them right now,\nso wait here!",
193,7,0,Takeru!,
194,8,0,Patamon!,
195,32,0,"I'm so glad you're safe, Takeru!",
196,72,0,"Ah! By the way, on my way here, I\nsaw a room with a weird machine in\nit.",
197,51,0,Really?! That must be the device\nthat separated us!,
198,30,0,Let's break it on our way out!,
199,25,0,"Got it! This way, Takeru!",
200,76,0,We're finally out of that winding\nforest! Now where are Yamato and\nTakeru...,
201,37,0,Why don't we try going a bit\nfurther?,
202,20,0,Yeah! Let's do that!,
203,7,0,Yamato!,
204,9,0,Yamato...,
205,23,0,Ugh... Unf... Taichi...,
206,69,0,"Taichi, Gabumon... Takeru...\nTakeru's been taken away by\nPinocchimon!",
207,6,0,What?!,
208,23,0,We have to go save him!,
209,37,0,Where are Pinocchimon and Takeru\nnow?,
210,15,0,I have no idea!,
211,31,0,"Yamato, keep yourself together!",
212,5,0,Huh?!,
213,63,0,It's Lord Pinocchimon's playtime\nright now. Do not disturb him!,
214,21,0,Hey! Where's Takeru?!,
215,9,0,Hahaha...,
216,15,0,Hey! Answer me!,
217,41,0,"Yamato, right now we have to\ndefeat them!",
218,56,0,"You don't understand how I feel at\nall! Gabumon, evolve!",
219,10,0,...O-Okay!,
220,20,0,What are you doing?!,
221,56,0,"I've been trying to evolve for a\nwhile now, but I can't!",
222,8,0,W-What?!,
223,10,0,Gyehhhhhh!,
224,10,0,Yamato...!,
225,12,0,Aaaaaaaaaah!,
226,98,0,"What did you just do?! Now that\nyou've defeated him, we won't be\nable to find out where Takeru is!",
227,18,0,"Calm down, Yamato!",
228,8,0,Heeeeey!,
229,4,0,Huh?,
230,7,0,Takeru?,
231,20,0,"Hey, guys! I'm back!",
232,36,0,"See, I can protect myself just\nfine!",
233,30,0,Great job making it back here!,
234,4,0,Wow!,
235,45,0,We broke the mechanism that had\nseparated us!,
236,24,0,"Nice, Takeru! Great job!",
237,23,0,...Huh? Where's Yamato?,
238,30,0,He was right there just now...,
239,37,0,He broke my toys... and he\nescaped...,
240,64,0,"And he said he doesn't want to\nplay with me... Fine, I get it...",
