index,limit,speaker,original,translation
0,38,0,"Really? Well, anyway, let's head\nhome.",
1,5,0,Okay!,
2,42,0,"Oh, right. Mommy, let's go this\nway today!",
3,9,0,Huh? Why?,
4,36,0,I heard there's a shortcut this\nway.,
5,59,0,"Huh, okay! It's nice to take\nanother route once in a while.",
6,48,0,It's nice to take another route\nonce in a while.,
7,40,0,What should I make for tonight's\ndinner?,
8,56,0,"I'm fine with whatever! I like\nanything you make, Mommy.",
9,15,0,Hey! Found you!,
10,28,0,A... a talking spider?! Ah!,
11,5,0,Mama!,
12,51,0,"It's Dokugumon! Takeru, get down!\nOops, I talked...",
13,48,0,"It's okay, Patamon, it looks like\nMommy fainted.",
14,57,0,Mommy hates spiders even more than\nshe hates cockroaches.,
15,49,0,"Hey, hey, Chosen Child! Gimme your\nTag and Crest!",
16,37,0,I'm gonna protect Takeru and his\nmom!,
17,9,0,U...gh...,
18,5,0,Mama!,
19,38,0,Takeru! W-where's that spider\nmonster?,
20,61,0,"Monster? There was a spider, but\nit was just a normal spider.",
21,40,0,Huh?! But it was the size of a\nperson...,
22,93,0,"You must have thought it was\nbigger out of shock. It's okay, \nI grabbed it and threw it away.",
23,51,0,"(Maybe *I'm* the one who's worn\nout, not Takeru...)",
24,53,0,"Yeah...Yeah, you're right, giant\nspiders don't exist.",
25,81,0,"Right! Anyway, let's hurry up and\ngo home. I have so much to tell\nyou about camp.",
26,20,0,Yeah! Let's go home.,
27,61,0,You seemed a lot more mature just\nnow. Maybe because of camp?,
28,19,0,I grew up a little!,
29,34,0,And just what do you mean by that?,
30,15,0,"Right, Patamon?",
31,16,0,"(Right, Takeru!)",
