index,limit,speaker,original,translation
0,29,0,l miss your morning\npractice.,
1,66,0,"This isn't the time to be worrying\nabout this! Let's go, Pyocomon!",
2,19,0,"Let's go, Pyocomon!",
3,66,0,We heard everything you said! We\nwon't let you attack the florist!,
4,57,0,"Gh, I got caught. Oh well. I'll\njust have to beat you up!",
5,9,0,Let's go!,
6,6,0,*whew*,
7,23,0,"Sora, did you see that?",
8,24,0,"You did great, Pyocomon!",
9,7,0,Eheheh!,
10,20,0,Sora! Are you okay?!,
11,4,0,Mom!,
12,99,0,I heard there was a child with a\nstrange stuffed animal causing a\nriot in front of the flower shop.,
13,54,0,I was worried you might have\ngotten caught up in it...,
14,51,0,"Yeah, I'm fine. I finished what\nyou asked me to do.",
15,76,0,"Sorry for putting you in such a\ndangerous situation, Sora. I\ndidn't mean to.",
16,6,0,Mom...,
17,87,0,All I wanted was for you to\nunderstand a flower arrangement\nschool head's job a little.,
18,7,0,Yeah...,
19,22,0,"Anyway, let's go home.",
20,5,0,Okay.,
21,37,0,"Your mom was worried about you,\nSora.",
22,7,0,Yeah...,
23,23,0,"Aren't you happy, Sora?",
24,59,0,"Sorry, sorry! Don't worry about\nme. Come on, let's go home!",
