index,limit,speaker,original,translation
0,74,5,��������Ugh! How cheap! You can't just\nattack them while they're\nevolving!,
1,42,1,Taichi! We've got an email from\nSingapore!,
2,44,3,"""Two on one, and you still lost?\nWeaklings.""",
3,12,2,"Oh, shut up.",
4,36,4,We have another email from\nInfermon!,
5,42,1,"What? ""hellohellohello""? The heck\nis that?",
6,30,2,The source email address is...,
7,70,2,This is bad! It's in the telephone\nlines! We have to contact\neveryone!,
8,62,9,"Hah! Well, as long as we know\nwhere he is, that's good enough!",
9,80,2,"Okay! All we gotta do is get\neveryone together, and it'll be an\neasy win for us!",
10,88,11,"Hikari! I know you're at a\nbirthday party, but you need to\nget home as soon as possible!",
11,88,8,"Ugh! I can't get to Jou or Yamato\nor Mimi, they're all on the phone\nwith someone else...",
12,24,1,Hello? Yagami residence.,
13,18,2,HELLOHELLOHELLO...,
14,39,1,Is this a prank call? The heck is\nthis?,
15,57,3,Didn't I tell you he was clogging\nup the telephone lines?,
16,32,2,So what's that supposed to mean?,
17,66,2,Infermon's snuck into the\nswitchboards and punctured the\ncircuits!,
18,70,1,"That's bad! We can't call anyone,\nand we're totally cut off from\nthem!",
19,54,4,And it's not just the phone lines!\nThe Internet... ah!,
20,13,1,What's wrong?,
21,32,5,I got cut off from the Internet.,
22,6,1,What?!,
23,51,2,That's it! Let me get back to my\nhouse for a bit...,
24,28,64,"Hey, Mom... It's all over...",
25,12,131,What's over?,
26,35,174,The phone lines... can't\nconnect...,
27,7,219,Really?,
28,40,232,"Hey, Taichi. Maybe it's because of\nthis?",
29,8,13,What...?,
30,86,56,Look at the news! Phone lines are\nbeing disconnected all over the\nmetropolitan area...,
31,28,87,"I know... I know why, too...",
32,55,158,"Really? Well, it says to dial 117\nin case of emergency.",
33,42,221,"Isn't it supposed to be 171?\n...Hey, wait!",
34,44,46,"Okay, got Yamato, got Sora. Next\nis... Mimi!",
35,33,135,"Oh, by the way, Mimi's in Hawaii.",
36,10,224,H-Hawaii?!,
37,25,249,She sent a postcard! See?,
38,30,12,"No reply... Taichi, you idiot.",
39,42,52,It's not working... Nobody's\nresponding...,
40,61,110,"It's kind of hard to get us all\ntogether at once, isn't it...",
41,24,143,"So, what were you up to?",
42,24,210,"So, what were you up to?",
43,31,25,I got a satellite mobile phone.,
44,10,80,Satellite?,
45,81,94,"Rather than using switchboards, we\ncan connect directly to foreign\naccess points.",
46,49,127,we can connect directly to foreign\naccess points.,
47,70,134,Then why don't we use that to get\nin touch with Yamato and the\nothers?,
48,67,186,That won't work. Domestic calls\nstill have to use the\nswitchboards.,
49,6,215,Man...,
50,56,228,"By the way, did you get any\nresponse via the 171 system?",
51,13,8,Oh! I forgot!,
52,13,16,Oh! I forgot!,
53,75,57,"Hello, this is Yamato... I have no\nidea why you're calling all of a\nsudden.",
54,10,66,We did it!,
55,16,153,Good ol' Yamato!,
56,31,182,Do you two have your Digivices?,
57,16,238,Of course we do!,
58,21,25,"Hey, what's going on?",
59,83,70,Please get to a computer as soon\nas you can. There's a new Digimon\non the Internet.,
60,26,104,It's time for us to fight!,
61,70,115,"We have our Digivices, but...\nGrandma's place doesn't have a\ncomputer.",
62,6,141,What?!,
63,40,172,"We're in Shimane, so there aren't\nany...",
64,39,215,We're done for. We're totally done\nfor.,
