index,limit,speaker,original,translation
0,33,0,It's a big one! Let's haul it in!,
1,30,0,W-what?! We caught a Digimon?!,
2,27,0,You've gotta be kidding me!,
3,51,0,"Ah, that was a shock. It really\nwas a big one, Jou.",
4,18,0,Jou! What's wrong?,
5,8,0,Broken?!,
6,26,0,?? Did you break your leg?,
7,26,0,?? Did you break your leg?,
8,37,0,No! I broke my brother's fishing\nrod!,
9,14,0,Eeeeeeeeeeeh?!,
10,97,0,"What am I gonna do? We took his\nfishing rod without permission,\nand on top of that we broke it...",
11,54,0,"What do I tell him? Hey, Gomamon,\nwhat should we do...",
12,46,0,No choice but to just be honest\nand apologize.,
13,11,0,N-no way...,
14,16,0,"I'm sorry, Shin!",
15,71,0,"Sneaking in, taking your fishing\nrod, and on top of that breaking\nit...",
16,95,0,"I don't know if you'll forgive me.\nI can pay you back with my pocket\nmoney, little by little...",
17,15,0,"It's fine, Jou.",
18,4,0,Huh?,
19,65,0,I'm glad you're taking an interest\nin things other than studying.,
20,8,0,Shin...?,
21,71,0,"You've been working really hard to\nbecome a doctor, just like Dad\nsaid.",
22,79,0,"But as your older brother, I want\nyou to be able to have fun like a\nnormal kid.",
23,54,0,I didn't know you were thinking\nsomething like that...,
24,72,0,"Anyway, I have to go. Go put the\nbroken fishing rod in the storage\nroom.",
25,25,0,Y-yeah. I'm really sorry.,
26,9,0,"Hey, Jou!",
27,7,0,W-what?,
28,74,0,I feel like you've changed a bit.\nLike you've become a bit more\nresilient.,
29,11,0,Is that so.,
30,70,0,"Yeah! Before, you would have kept\nquiet about that broken fishing\nrod!",
31,8,0,Really?!,
32,15,0,"Ahaha, see you.",
33,5,0,Yeah.,
34,29,0,"See? Just like I said, right?",
35,54,0,Yeah! And I'm glad I got to know\nhow my brother feels.,
36,42,0,"Okay, now I want a hamburger as my\nreward.",
37,45,0,Huh?! Do I have enough pocket\nmoney for that?,
38,7,0,Hahaha!,
