index,limit,speaker,original,translation
0,41,0,��������How far do we have to keep going?,
1,41,0,Until we're somewhere Etemon can't\nreach.,
2,16,0,So where's that?,
3,19,0,Whew...it's so hot.,
4,61,0,"Keep yourselves together, guys.\nWe've got a Crest now, right?",
5,70,0,"Yeah, but...are we even sure we\ncan use it to make the Digimon\nevolve?",
6,24,0,"They can! Right, Agumon?",
7,7,0,Yeah...,
8,64,0,Stay sharp! You're the only one\nhere who can evolve any further.,
9,7,0,Yeah...,
10,32,0,"All right! Okay, guys, cheer up!",
11,9,0,cheer up!,
12,9,0,cheer up!,
13,7,0,Yeah...,
14,14,0,It's an oasis!,
15,20,0,We can finally rest.,
16,20,0,"Look, there's fruit!",
17,18,0,"You're right, wow!",
18,33,0,Perfect! Let's take a break here.,
19,62,0,"I guess there's nothing else we\ncan do, so we'll take a break!",
20,37,0,I should collect some food for\nnow...,
21,44,0,It's probably dangerous\nto go off by myself.,
22,84,0,We're so unlucky...Etemon had to\nfind us just when we'd made it to\nServer Continent.,
23,85,0,"The sheer scope of Etemon's power\nthrew us for a loop, and now\neveryone's too scared.",
24,82,0,"Taichi, can you let me inspect\nyour Crest later? Maybe I can\nfigure something out.",
25,32,0,"All right, I'll leave it to you!",
26,33,0,Let me think about it a bit more.,
27,32,0,"All right, I'll leave it to you!",
28,99,0,"If I figure out the relationship\nbetween the Tag and Crest, I can\nlearn how Digimon evolve further.",
29,46,0,"Yeah, right now we're depending on\nthis Crest.",
30,33,0,Let me think about it a bit more.,
31,60,0,"Taichi, right now we don't know\nanything about this Crest...",
32,98,0,"I know! But if I don't have the\nCrest at a time when we need it,\nAgumon won't be able to evolve...",
33,9,0,Taichi...,
34,84,0,"There's food scattered in the\nbushes, but it looks like they\ngrow in small portions.",
35,76,0,"I wish we could have stayed in the\nKoromon village, just for a bit\nlonger...",
36,58,0,"Gomamon! If you swim in the oasis,\nwe can't drink from it!",
37,32,0,"Don't worry, I like being clean!",
38,25,0,That's not the problem...,
39,46,0,"Gomamon, how long are you gonna\nkeep swimming?",
40,71,0,"Hey, hey, Tokomon! How come the\nonly water around here is at the\noasis?",
41,45,0,"Hmm, I dunno. Maybe you should ask\nKoushirou?",
42,32,0,Okay! Let's go ask him together!,
43,28,0,I hope Tokomon evolves soon.,
44,47,0,Yeah! I'm really trying my best to\nprotect you.,
45,19,0,Obtained DigiMelon!,
46,61,0,"Huh, so there's real food here!\nMaybe there's more elsewhere.",
47,37,0,"Okay, good, good. Let's keep\nlooking.",
48,23,0,We found a lot of food.,
49,24,0,"Yeah, this'll be enough!",
50,88,0,"Hey, Koushirou. How do you think\nwe're supposed to evolve our\nDigimon to the next level?",
51,81,0,"Evolving...considering what we've\nseen before, it seems like energy\nis necessary.",
52,7,0,Energy?,
53,46,0,Evolved Digimon need a large\namount of energy.,
54,8,0,I see...,
55,92,0,And there are many cases in which\nDigimon have evolved when their\npartners were in danger...,
56,23,0,"Energy and danger, huh.",
57,35,0,"Agumon, I'm stuffing you with food!",
58,24,0,"What do you think, guys?",
59,46,0,Eh?! But that's all the food we\njust gathered!,
60,59,0,It's the only way! You're the only\none who can beat Etemon!,
61,20,0,What should we do...,
62,18,0,We can't stop him.,
63,99,0,"There's still a lot we don't know, \nand it doesn't look like the \nDigimon know any more than we do.",
64,57,0,And we don't know what the Crests\ndo to make them evolve.,
65,43,0,There's no use in rushing to\nfigure it out.,
66,53,0,"I mean, shouldn't we try out the\nthings we *do* know?",
67,4,0,Try?,
68,29,0,I can't eat any more! Bleh...,
69,83,0,No! Everyone gave you their food\nbecause they're looking forward to\nyour evolution!,
70,7,0,Yeah...,
71,19,0,My share of food...,
72,44,0,"But we can't evolve to the next\nlevel, so...",
73,42,0,That's why both of us have to do\nour best!,
74,24,0,I feel bad for Agumon...,
75,54,0,"Yeah, it's like Taichi's pushing\nAgumon into a corner.",
76,52,0,"Taichi was always kind to us\njuniors in club, but...",
77,95,0,"Even when he seemed to be just\nrushing into things, he would\nusually consider his surroundings.",
78,24,0,Huh...that's a surprise.,
79,72,0,"Now that he's got that Crest,\nsomething about him seems to have\nchanged.",
80,3,0,Ah!,
81,18,0,"What's wrong, Jou?",
82,31,0,My Tag's reacting to something!,
83,35,0,...! There's a building over\nthere!,
84,37,0,The Crest must be in there. Let's\ngo!,
85,5,0,Yeah!,
86,5,0,Whoa!,
87,18,0,Are you okay? Jou!,
88,20,0,"Ow, ow. Pesky cable!",
89,30,0,Huh? Why's there a cable here?,
90,30,0,Huh? Why's there a cable here?,
91,68,0,"Meanwhile, while the Chosen\nChildren were tracking the Crest\ndown...",
92,7,0,Ghigi!!,
93,26,0,"What's wrong, Lord Etemon?",
94,36,0,Something got caught in the\nnetwork.,
95,6,0,Where?,
96,54,0,"The Colosseum, the one where I\nhold my yearly concert.",
97,34,0,Huh? That's pretty far from there.,
98,57,0,But I've got an interesting show\nset up there. Ghighighi!,
99,48,0,"When you look at it up close, it's\npretty old...",
100,34,0,It looks like the Roman Colosseum.,
101,12,0,What's that?,
102,19,0,An ancient stadium.,
103,47,0,The Tag's giving off an even\nstronger reaction!,
104,44,0,So the Crest really is in here.\nLet's go in!,
105,5,0,Yeah!,
106,27,0,There's a soccer goal here!,
107,44,0,"Okay, let's split up and look for\nthe Crest!",
108,45,0,"Whew, I can't move anymore. I'm\ngonna rest...",
109,22,0,"Hey, keep it together!",
110,48,0,"Let him rest. Our only clue is\nthis Tag, anyway.",
111,77,0,"Jou and I will go look for the\nCrest, so the rest of you should\ntake a break!",
112,17,0,I'll go with you!,
113,69,0,"He said that the tag's our only\nclue, so we wouldn't be of much\nhelp.",
114,82,0,I wonder if we'll really find the\nCrests by just wandering around\nthe continent...,
115,75,0,Yeah. We don't even know how far\naway a Crest could be when the Tag\nreacts.,
116,19,0,"A soccer goal, huh?",
117,29,0,"You play soccer, right, Sora?",
118,32,0,"Yeah, but my mom's against it...",
119,71,0,I don't see any mysterious\ncharacters like the ones in the\nother ruins.,
120,65,0,"Well, it's not like seein' one set\nof ruins lets you see 'em all.",
121,81,0,"Isn't it weird, having a soccer\ngoal here? Did ancient people\nreally play soccer?",
122,45,0,"Don't ask me things I don't know\nabout, Mimi.",
123,50,0,The Crest should be somewhere in\nthis colosseum...,
124,26,0,Is the Tag still reacting?,
125,51,0,"Yeah, and stronger than ever. I\nthink it's close...",
126,24,0,"Aren't you hot, Tokomon?",
127,69,0,"If I were Patamon, I could cool\nyou down by flapping my wings,\nbut...",
128,40,0,You'll be able to evolve! Hang in\nthere!,
129,56,0,"I'm sorry, Taichi, I can't move\nanymore...let me rest...",
130,43,0,"Wow, a soccer ball! Hey, wanna\nplay soccer?",
131,11,0,Sounds fun!,
132,56,0,How about we split into a human\nteam and a Digimon team?,
133,14,0,What's soccer?,
134,22,0,Soccer is like this...,
135,22,0,Soccer is like this...,
136,44,0,How can you play soccer at a time\nlike this?,
137,27,0,Ghighigi! Merci for coming!,
138,26,0,Kyaaaaaaaaah! H-he's here!,
139,84,0,"Calm down! It's another\nthree-dimensional image of Etemon,\nlike the one from before!",
140,14,0,"Wait, guys...!",
141,3,0,Ah!,
142,7,0,Agumon!,
143,13,0,Taichi! Guys!,
144,7,0,Agumon!,
145,27,0,The soccer goal was a trap!,
146,43,0,He was tryin' to tie us all up in\nthis net!,
147,75,0,"My, don't touch the net. There's a\nhigh-voltage current flowing\nthrough it.",
148,50,0,There's a high-voltage current\nflowing through it.,
149,18,0,What?! Let us out!,
150,26,0,"Aw, 'fraid I can't, boy...",
151,83,0,"Really, I'd love to be your\nopponent, but unfortunately I'm\ntoo far away right now!",
152,55,0,"But don't worry, I've prepared a\nspecial guest instead!",
153,16,0,A special guest?,
154,46,0,"I'm sure you'll be surprised!\nHip-hip, hooray!",
155,19,0,Guys! Are you okay?,
156,27,0,The soccer goal was a trap!,
157,35,0,They caught us all up in the\nnet...,
158,83,0,"Ah, best not to touch that!\nThere's a high-voltage current\nrunning through the net!",
159,55,0,There's a high-voltage current\nrunning through the net!,
160,16,0,Let everyone go!,
161,25,0,"Oops, there's one left...",
162,83,0,"Really, I'd love to be your\nopponent, but unfortunately I'm\ntoo far away right now!",
163,55,0,"But don't worry, I've prepared a\nspecial guest instead!",
164,16,0,A special guest?,
165,46,0,"I'm sure you'll be surprised!\nHip-hip, hooray!",
166,13,0,A G-Greymon?!,
167,30,0,Told you you'd be surprised...,
168,71,0,"Enjoy my spectacular production!\nWell then, let's start! It's\nshowtime!",
169,15,0,"Agumon, evolve!",
170,18,0,"Fight on, Greymon!",
171,26,0,You can't lose to a faker!,
172,31,0,"You've got to evolve, Greymon!!",
173,39,0,"The fight won't end well, at this\nrate.",
174,32,0,"Unless he evolves, he's a goner.",
175,36,0,"Evolve! Greymon, you have to\nevolve!",
176,52,0,"It's not working, Taichi, your\nCrest isn't reacting.",
177,16,0,He can't evolve!,
178,64,0,"He can do it! Greymon, you can do\nit! Believe in your own power!",
179,50,0,Don't his movements look a bit\nslower than normal?,
180,56,0,That's right! His body is heavy\nbecause he ate too much!,
181,60,0,"My, my, it looks like it's going\nto end already. How boring.",
182,54,0,We have to find a way out of here\nas soon as possible!,
183,16,0,But how...aaah?!,
184,7,0,G-Guys!,
185,22,0,Ow. Are you guys okay?,
186,44,0,"Seems like we're all fine, but\nwhere are we?",
187,58,0,Seems like there are some ruins in\nthe colosseum basement.,
188,78,0,Greymon's still fighting up there!\nLet's hurry up and get back to the\nsurface!,
189,11,0,"Ah, Taichi!",
190,20,0,Let's follow Taichi!,
191,22,0,Ow. Are you guys okay?,
192,44,0,"Seems like we're all fine, but\nwhere are we?",
193,58,0,Looks like there are some ruins in\nthe colosseum basement.,
194,95,0,The Tag hasn't been reacting as\nstrongly. I think we got separated\nfrom the Crest when we fell.,
195,42,0,But Taichi and Greymon are still\nup there.,
196,61,0,We have to get back to the surface\nand find the Crest anyway.,
197,41,0,Yeah! Having another Crest can't\nhurt us.,
198,63,0,The Tag's reaction is getting\nstronger! The Crest must be here!,
