index,limit,speaker,original,translation
0,40,2,Just a bit more and we'll be at\nthe top!,
1,46,1,I can't walk any further! I'll\njust wait here.,
2,46,2,I can't walk any further! I'll\njust wait here.,
3,35,1,"Don't give up, Mimi! You can do\nit!",
4,44,4,"Yeah, just hang in there a bit\nlonger, okay?",
5,27,1,"Okay, just a little more...",
6,18,4,"(Nice going, Jou!)",
7,18,2,"(Nice going, Jou!)",
8,18,2,"(Nice going, Jou!)",
9,10,2,We did it!,
10,17,1,We're at the top!,
11,11,1,This is...!,
12,28,2,Taichi? Do you see anything?,
13,65,1,I can't believe it...we're on an\nisland in the middle of the sea.,
14,50,1,Another black gear. If I don't do\nsomething now...,
15,44,2,Good kids shouldn't hang around\nhere! Scram!,
16,44,4,Good kids shouldn't hang around\nhere! Scram!,
17,47,1,"Ogremon, now's not the time to\nsettle our feud.",
18,76,2,The black gears raining down from\nthat mountain are making Digimon\ngo crazy!,
19,39,1,"Oh, just drop dead!\nFist of the Tyrant!",
20,39,3,"Oh, just drop dead!\nFist of the Tyrant!",
21,23,1,Fist of the Beast King!,
22,19,80,Stop your fighting.,
23,33,168,The Chosen Children have arrived.,
24,29,215,The Children?! It can't be...,
25,35,251,It's taking a while to defeat\nthem.,
26,42,40,Then *you're* the one who needs\ndefeating!,
27,23,68,Fist of the Beast King!,
28,6,87,What?!,
29,40,106,Do you really think that will\ndefeat me?,
30,11,125,Death Claw!,
31,12,136,Nghaaaaaaah!,
32,27,154,Receive my baptism of evil!,
33,27,166,Kill...the Chosen Children!,
34,47,195,"But hey, we can't give up. Should\nI make a map?",
35,74,5,"Are you good at drawing, Taichi?\nMaybe you should ask the others\nfor help.",
36,68,56,"It doesn't have to be that good!\nBut yeah, maybe I'll do that\nfirst.",
37,21,101,So what do we do now?,
38,43,146,"Even with Birdramon, it'll be\nimpossible...",
39,40,194,I wonder if there's land across\nthe sea?,
40,25,15,We can't go there anyway.,
41,31,55,We should just wait for help...,
42,49,95,"Even if there is, we can't travel\nacross the sea.",
43,67,119,You're right. We can't be troubled\nby things we have no clue about.,
44,52,139,Maybe we should just wait on this\nisland for help...,
45,37,142,But can we really live in this\nworld?,
46,24,176,"Koushirou, I was just...",
47,63,206,"I'm sorry, Taichi. I know you were\njust trying to encourage me.",
48,36,242,Why'd it have to turn out like\nthis?,
49,17,29,"Haaah, I'm tired.",
50,50,53,So it really is an island\nsurrounded by the sea...,
51,41,60,"Taichi, are you done consulting\neveryone?",
52,22,101,(What should I do...?),
53,27,113,Let's go down the mountain.,
54,29,126,Let me talk to everyone else.,
55,33,154,"Guys, let's go down the mountain!",
56,41,182,"Yeah, we'll just have to go down\nfor now.",
57,12,49,It's Leomon!,
58,13,118,Who's Leomon?,
59,45,140,"He's a really strong,\njustice-minded Digimon!",
60,20,184,Kill...the children!,
61,48,225,Then why's he attacking us all of\na sudden? Run!,
62,16,251,Hahaha! Welcome!,
63,16,27,Hahaha! Welcome!,
64,16,77,Hahaha! Welcome!,
65,19,198,This one's Ogremon!,
66,32,236,He's a legitimately bad Digimon!,
67,21,5,Uh-oh! We're trapped!,
68,43,69,"Looks like we've got no other\nchoice, then!",
69,20,106,Gh...The children...,
70,82,124,"Looks like you took a beating,\nLeomon! Get out of the way, I'll\nbe their opponent!",
71,21,175,He's coming this way!,
72,49,217,It really is a pain fighting six\nof them at once.,
73,49,240,It really is a pain fighting six\nof them at once.,
74,49,12,It really is a pain fighting six\nof them at once.,
75,14,76,W-what's this?,
76,17,118,It's a landslide!,
77,17,122,It's a landslide!,
78,17,135,It's a landslide!,
79,13,149,Whoaaaaaaaaa!,
80,28,195,Everyone! Are you guys okay?,
81,11,216,We're okay!,
82,30,9,What about Leomon and Ogremon?,
83,53,26,They must have gotten caught in\nthe cliff collapsing!,
84,43,43,Doesn't look like they could fly\nfrom here.,
85,19,60,We're saved! Ahaha!,
86,38,63,All right! Let's go down the\nmountain!,
87,73,83,They're stronger than I expected.\nBut it'll still be easy to defeat\nthem!,
