index,limit,speaker,original,translation
0,31,0,��������Where did Yamato go...?,
1,71,0,"Don't worry, Takeru. Yamato isn't\nthe type to leave his friends\nbehind.",
2,79,0,"There's probably stuff he needs to\ndo by himself, but I'm sure he'll\ncome back.",
3,7,1,Yeah...,
4,19,0,"(Right, Yamato...?)",
5,61,0,"Taichi, I also believe that we\nshould trust in Yamato, but...",
6,85,0,"Yamato may have gotten into some\nkind of trouble, so shouldn't we\nsearch around here?",
7,81,1,"I agree. This is Pinocchimon's\nterritory, so we should join up as\nsoon as we can.",
8,59,0,"All right, guys! Let's get going!\nWe're looking for Yamato!",
9,29,0,"Look, Taichi! It's a Koromon.",
10,16,0,It looks hurt...,
11,36,0,"Hey! Koromon, what happened to\nyou?!",
12,48,0,T-the Dark Masters... attacked...\nthe village...,
13,50,1,So the Dark Masters have hurt even\nmore Digimon...,
14,84,0,"When it ran away from the village,\nit must have gotten separated from\nits friends...",
15,62,0,We can't just leave it alone! Not\nwhen it's injured like this!,
16,53,0,Let's find the other Koromon and\nbring them together!,
17,9,0,Takeru...,
18,13,0,"Yeah, I know.",
19,71,1,"We'll find Yamato for sure. But\nright now, we have to help the\nKoromon!",
20,19,0,Here... everyone...,
21,57,1,Anyone...? There's an injured\nKoromon. Is anyone here...?,
22,33,1,Thank you for helping our friend!,
23,23,0,What on earth happened?,
24,56,1,"Pinocchimon attacked our village,\nand we all ran, but...",
25,55,0,We can't live in our village\nanymore. It was destroyed.,
26,16,1,...Unforgivable.,
27,29,0,How's that injured one doing?,
28,78,100,"The wounds are deep... we need\nmedicinal herbs, but we don't have\nany anymore.",
29,55,101,"I'll go look for some. Stay here\nand wait for me, guys.",
30,19,97,I'm going with you!,
31,8,112,"Me, too!",
32,28,32,"All right, then let's hurry!",
33,78,101,The herb should be a red flower\nthat's bigger than us. It should\nbe near here.,
34,40,46,"It's hard to find, so keep that in\nmind.",
35,17,119,"Ah! Taichi, look!",
36,82,46,Isn't that what the Koromon was\ntalking about? A red flower bigger\nthan a Koromon?,
37,74,109,"You're right! It was pretty far\naway, though. Good job finding it,\nHikari.",
38,19,32,You have good eyes.,
39,9,32,Eheheh...,
40,49,44,It's 'cause you're always watching\nTV with Dad...,
41,16,115,T-that's not it!,
42,14,32,Obtained herb!,
43,14,109,Obtained herb!,
44,14,111,Obtained herb!,
45,54,110,Thank you! We can help all our\ninjured ones with this!,
46,30,68,Has Yamato still not returned?,
47,8,118,...Nope.,
48,6,97,Huh...,
49,58,101,"What should we do, Taichi? Should\nwe wait here for Yamato?",
50,66,10,Or should we find a place where we\ncan stave off the Dark Masters?,
51,63,114,Let's go... I don't want to make\nany more Digimon into victims.,
52,5,32,Yeah!,
53,8,110,I agree!,
54,49,32,Thank you so much! Our Koromon\nwill get better...,
55,41,103,We want you to receive this in\ngratitude!,
56,66,87,"Thank you! We'll take it. We'll\ndefeat the Dark Masters, for sure!",
57,15,114,Leave it to us!,
58,56,111,"I have to do my brother's share\ntoo, so I'll do my best!",
59,41,110,"You're getting really dependable,\nTakeru.",
60,8,110,U-ugh...,
61,55,111,It's having a nightmare... its\neyes are full of fear...,
62,53,111,We could make it easier for him if\nwe had the herb...,
63,75,116,The herb should be a red flower\nthat's bigger than us. It should\nbe nearby.,
64,40,114,"It's hard to find, so keep that in\nmind.",
65,30,32,Got it. We'll keep an eye out.,
66,72,101,Are you gonna fight the Dark\nMasters? They're a lot scarier\nthan Etemon.,
67,43,105,"Yeah, we'll fight whoever we have\nto fight.",
68,53,115,"If we had more of the herb, we'd\nshare it with you...",
69,33,46,We're fine. Don't worry about us.,
70,34,114,I can't poop properly like this...,
71,29,105,Why do you think Yamato left?,
72,19,44,(I have no idea...),
73,17,117,(I have an idea.),
74,43,114,I *never* have any idea what he's\nthinking!,
75,35,101,"Don't say things like that,\nTaichi.",
76,24,110,He's a pretty blunt guy.,
77,82,108,"He probably didn't know what to do\nfor himself, rather than what to\ndo for Takeru.",
78,51,10,I guess Yamato really does keep\neveryone in mind...,
79,36,116,That's why I'm sure he'll come\nback!,
80,25,111,We've gotten separated...,
81,31,104,"I'm counting on you, Koushirou.",
82,35,99,"We're separated, but still friends.",
83,86,119,"I'm grateful for your confidence\nin me, but it's a little too much\nfor me to handle...",
84,62,110,That's true... we've fought\ntogether as comrades up until now.,
85,41,32,"Hey, Taichi. Can I stay with the\nKoromon?",
86,33,0,"You have a mission, right Hikari?",
87,26,46,We can't leave you behind.,
88,35,111,We have to defeat the Dark\nMasters.,
89,15,111,"Yeah, I know...",
90,35,108,That's not what you said\nearlier...,
91,55,68,I just wanted to know if you'd try\nto take me with you.,
92,36,116,"We can't leave you behind, you\nknow.",
93,5,105,Yeah!,
94,43,110,What if you get targeted after we\nleave...?,
95,41,32,But aren't you worried about the\nKoromon?,
96,33,99,"You have to understand, Hikari...",
97,70,116,We're gonna need more herbs than\nthat if we want to cure those\nwounds.,
