index,limit,speaker,original,translation
0,44,255,��������Haaaaaah...\nI can't take it anymore!,
1,28,255,I can't take another step...,
2,24,255,We've reached our limit.,
3,25,255,"Okay, let's take a break!",
4,28,255,Hmm...It still doesn't work.,
5,67,255,"Your computer's not working? If\nyou give it a whack, it'll be\nfine!",
6,21,255,Aaah!! P-Please stop!,
7,28,255,Tch! I was trying to fix it.,
8,30,255,Whew...I hope it isn't broken.,
9,85,255,"I did it, I fixed it! Huh? Why is\nit functioning, even though the\nbattery's at zero?!",
10,52,255,"Heeeeey! Everyone, get over here!\nThere's a factory!",
11,51,255,There really is...\nbut what's a factory doing here?,
12,35,255,What's this? Should we\ninvestigate?,
13,19,255,Let's check it out!,
14,82,255,(This factory...I wonder if it has\nanything to do with my computer\nworking again.),
15,53,255,"Heeeeeeey, Koushirou! Let's go\ncheck out the factory!",
16,26,255,"Yes, I'm coming right now!",
17,26,255,It's a really big factory.,
18,69,255,"If there's a factory, there must\nbe humans here! Time to\ninvestigate!",
19,7,255,Indeed.,
20,19,255,This door's closed!,
21,56,255,Hnnnnf...! I don't think we're\nstrong enough to open it.,
22,21,255,Please wait a minute.,
23,58,255,This kind of door will only open\nunder certain conditions.,
24,30,255,Conditions... What conditions?,
25,33,255,Maybe... Something like a switch.,
26,36,255,A switch? Like that one right\nthere?,
27,34,255,It definitely looks like a switch.,
28,29,255,"Hey, Takeru! What's a switch?",
29,56,255,"When you hit it, there's a ""beep""\nand something happens!",
30,55,255,"It’s that kind of thing. So, let’s\ngo hit the switch.",
31,10,255,It worked!,
32,45,255,"As I thought, the door reacted to\nthe switch.",
33,67,255,"So anytime a door doesn't open, we\nshould look for a switch, right?",
34,72,255,"It's the power of science! There\nmust be humans here, no doubt\nabout it!",
35,25,255,"Hmmm, it's not opening...",
36,50,255,It won't work that way. We should\npush the switch.,
37,29,255,It isn't opening after all...,
38,59,255,Isn't there some kind of spell you\ncan cast to open a door?,
39,24,255,"Open, sesame! Like that?",
40,25,255,That's so unscientific...,
41,15,255,It didn't open.,
42,29,255,I'm tired of all these mazes!,
43,74,255,Don't panic. Just look for the\nswitch. Every room seems to be\ndifferent...,
44,20,255,"Hmm, it didn't open.",
45,34,255,We might have passed the switch...,
46,25,255,Let's keep going for now!,
47,35,255,It seems that there's another\ndoor.,
48,85,255,"There should be another switch\naround here somewhere, right?\nLet's hurry up and look.",
49,30,255,It seems there's another door.,
50,22,255,We pressed the switch.,
51,32,255,"The door should open now, but...",
52,14,255,So is it open?,
53,73,255,It seems there is also a lock in\nwhich one has to push multiple\nswitches.,
54,17,255,It's not opening?,
55,42,255,That's strange. We even pushed the\nswitch.,
56,60,255,Let's keep exploring. I'm sure\nwe'll find some kind of clue.,
57,22,255,We pressed the switch!,
58,30,255,The door should probably open.,
59,15,255,Another switch?,
60,33,255,"I think it'll open a door, but...",
61,28,255,"We pushed the switch, but...",
62,23,255,There's no door for it.,
63,48,255,Maybe we'll figure it out if we\njust keep going.,
64,90,255,"We've come rather deep into the\nfactory, but it seems that we\nstill have a long way to go.",
65,31,255,How about we rest here for now?,
66,15,255,Where ya goin'?,
67,89,255,"I'm interested in something, but\nit's probably dangerous to stray\ntoo far from the group.",
68,15,255,Where ya goin'?,
69,52,255,I wanted to take a look at that\npassage on the left.,
70,34,255,Can you watch TV on that computer?,
71,64,255,"I don't have a TV tuner, and I\ndon't know how we'd get a signal.",
72,68,255,Then it can't do anything! It's\njust an annoyance to the rest of\nus.,
73,92,255,This place is bigger than I\nthought and it's hard to find\nanything. My muscles are all sore.,
74,56,255,Of course they're sore! We've been\nwalking all this way.,
75,51,255,"We got through a jungle, we got\nthrough a desert...",
76,63,255,"Sora, I'd like to ask everyone\nwhere we should look after this.",
77,60,255,"Hey, Sora! I see a push cart over\nthere! Let's play with it!",
78,32,255,"Hold on, Piyomon! Don't pull me!",
79,33,255,"(It looks tough for you, Sora...)",
80,61,255,Koushirou! It looks like your\ncomputer started working again!,
81,20,255,Huh? I wonder why...,
82,38,255,"Hey, why are you hiding your\ncomputer?",
83,9,255,Hahaha...,
84,26,255,"Waaaaaaait, Patamooooooon!",
85,33,255,"Ahaha! Okay, you're ""it"", Takeru!",
86,91,255,Those two...I wonder if humans and\nDigimon become more alike when\nthey spend time together?,
87,35,255,"Why're ya starin' at me,\nKoushirou?",
88,86,255,"Come to think of it...back in\nsocial studies, we took a field\ntrip to a bread factory.",
89,25,255,"I went on that trip, too.",
90,67,255,"We're used to factories with lots\nof people working in them, but...",
91,41,255,This factory really is full of\nmysteries.,
92,28,255,"We should keep going, but...",
93,42,255,There's two doors. Which do we go\nthrough?,
94,90,255,This factory is very large. It \nseems more efficient to \ninvestigate in 2 separate groups.,
95,73,255,"All right, we'll split into teams.\nKoushirou, pick who you want on\nyours.",
96,28,255,Is it okay for me to choose?,
97,58,255,"Sure! You're the one who suggested\nwe split up, after all.",
98,7,255,Then...,
99,32,255,"Go with Yamato, Takeru, and Mimi",
100,20,255,Go with Jou and Sora,
101,40,255,"I will go with Yamato, Mimi, and\nTakeru.",
102,32,255,"Okay, I'll go with Jou and Sora!",
103,28,255,I will go with Jou and Sora.,
104,30,255,"Okay, I'll go with the others!",
105,22,255,"So it's decided, then.",
106,30,255,"Okay, we'll meet back up here.",
107,20,255,"Stay safe, everyone!",
108,22,255,Leave this area to me!,
109,20,255,"Then, let's proceed.",
110,5,255,Okay!,
111,21,255,Koushirou! Over here!,
112,58,255,This room's door has a different\ncolor. Let's take a look!,
113,10,255,All right!,
114,66,255,It's a large battery and a motor!\nIs this what powers the factory?,
115,6,255,Wow...,
116,10,255,Koushirou!,
117,66,255,It's a large battery and a motor!\nIs this what powers the factory?,
118,6,255,Wow...,
119,25,255,Bonding Conversation Test,
120,25,255,Bonding Conversation Test,
121,25,255,Bonding Conversation Test,
122,25,255,Bonding Conversation Test,
123,41,255,Huh? There's a door in a place\nlike this?,
124,31,255,Prolly goes inside the battery.,
125,17,255,I'll take a look.,
126,26,255,"Koushirou, we'll come too.",
127,53,255,It's okay. Tentomon and I can\ninvestigate on our own.,
128,61,255,"Okay, we'll wait here for you.\nTell us if you find something.",
129,7,255,I will!,
130,32,255,Do you want us to come with you?,
131,53,255,It's okay. Tentomon and I can\ninvestigate on our own.,
132,51,255,"We'll wait here, then, so tell us\nwhen you're done.",
133,7,255,I will!,
134,41,255,Looks like Koushirou and the\nothers left.,
135,32,255,"Yeah. We should keep going, too.",
136,12,255,Euuuuuugh...,
137,8,255,A voice?,
138,27,255,It's coming from this room.,
139,19,255,Let's check it out.,
140,23,255,I'm worried about this.,
141,11,255,Over there!,
142,10,255,A r-robot?,
143,32,255,"It's not a robot, it's Andromon!",
144,26,255,"So this is a Digimon, too?",
145,63,255,"Yeah, and he's a good Digimon. But\nit looks like he can't move.",
146,15,255,Really? Then...,
147,34,255,He'll move if we give him a whack!,
148,36,255,He'll budge if we handle him gently.,
149,33,255,Keep watching for a little while.,
150,14,255,"Don't, Taichi!",
