index,limit,speaker,original,translation
0,47,0,"����All right then, let's go to\nGennai's place!",
1,28,0,"Wait a second, what's this?!",
2,39,0,Does he live in the middle of the\nlake?,
3,83,0,"So that's why I couldn't find it,\neven after searching the mountain\nfor two months.",
4,11,0,No waaaaay!,
5,47,0,Does that mean we're supposed to\ngo down there?,
6,19,0,"Okay, we'll try it!",
7,15,0,Ah! Is that it?,
8,11,0,I think so.,
9,28,0,Pardon us! We're heading in!,
10,31,0,"Thank you for coming, children.",
11,29,0,Is it the real one this time?,
12,4,0,Yes.,
13,45,0,"Hey, old man! We've got something\nto ask you!",
14,11,0,What is it?,
15,62,0,Why didn't you leave this place\nand meet us in person earlier?,
16,79,0,"I'm a stay-at-home kind of guy and\nI don't have much free time. Here,\nthis way.",
17,60,0,This is Vamdemon's location on\nEarth. He's around this spot.,
18,3,0,Ah!,
19,3,0,Ah!,
20,13,0,What's wrong?,
21,31,0,"It's nothing, no big deal. You?",
22,60,0,"It's nothing to worry about, it's\njust...that's Hikarigaoka.",
23,13,0,Hikarigaoka?!,
24,40,0,I will now explain how to open the\ngate.,
25,28,0,Okay. We're counting on you.,
26,28,0,Okay. We're counting on you.,
27,77,0,Got it. So we just have to put\nthese cards on the slate in front\nof the gate.,
28,89,0,"If you make a mistake, you may end\nup in another world, or fail to\ncome out in one piece.",
29,39,0,So pay attention to the card\nplacement!,
30,7,0,Got it.,
31,44,0,Be sure to get a good night's\nsleep tonight.,
32,14,0,Are you ready?,
33,4,0,Yes!,
34,96,0,"Chosen Children, you're dealing\nwith a difficult situation here. \nBelieve in your own abilities.",
35,4,0,Yes!,
36,56,0,"Hey, Koushirou, what did you do\nwhile we were separated?",
37,27,0,I was searching for Gennai.,
38,52,0,A story that'll wrench the heart\nout no matter what!,
39,37,0,But Taichi was gone for two\nmonths...,
40,39,0,"You're right, it was around two\nmonths.",
41,4,0,Yup.,
42,43,0,You were looking for Gennai for\ntwo months?,
43,34,0,(Talk about why I kept searching.),
44,34,0,(Talk about how I got frustrated.),
45,56,0,I'm thankful that Tentomon\naccompanied me all this time.,
46,46,0,Yep! You and Tentomon are really\ngood friends!,
47,34,0,"Just like you and Patamon, Takeru.",
48,32,0,Yeah! We're totally inseparable!,
49,43,0,There were times when we wanted to\ngive up.,
50,44,0,Really? That must have been quite\na journey.,
51,42,0,"At one point, I gave into my\nweaknesses...",
52,38,0,So Gennai lives in this sort of\nplace.,
53,72,0,I'm surprised as well. I didn't\nthink he would live somewhere like\nthis.,
54,55,0,"What on earth *is* that old guy\nsupposed to be, anyway?",
55,8,0,A human?,
56,22,0,A non-human existence?,
57,41,0,"A human who can't get back home,\nlike us?",
58,62,0,But he's using a lot of amazing\ntechnology that we don't have.,
59,42,0,I don't think he's just an\nordinary human.,
60,24,0,You're probably right...,
61,38,0,Maybe he's like the god of this\nworld?,
62,16,0,"I think so, too.",
63,78,0,"Every time we hit a roadblock,\nhe pops in with suspiciously\nconvenient timing.",
64,33,0,"Sora, Taichi was looking for you.",
65,25,0,Really? What did he want?,
66,30,0,It seemed like he needed help.,
67,27,0,He was unusually excited...,
68,78,0,I think it was something about a\nbutton falling off and needing it\nre-sewn on.,
69,46,0,Did it rip off again? He's always\nso reckless.,
70,33,0,"Thanks for telling me, Koushirou!",
71,20,0,"Oh, it's no problem.",
72,42,0,Seems like he's plotting something\nsneaky.,
73,5,0,Huh?!,
74,28,0,As if he'd found a huge bug.,
75,12,0,"Ugh, Taichi!",
76,38,0,"Thanks for letting me know,\nKoushirou!",
77,20,0,"Oh, it's no problem.",
78,79,0,"It seems you went through a lot of\nhard work, Jou. Yamato told me all\nabout it.",
79,96,0,"It really was. While everyone was\ngone, I felt like I'd been working\nin that restaurant forever.",
80,45,0,"But Jou, I feel like you've\nchanged a little.",
81,20,0,Really? In what way?,
82,13,0,In appearance,
83,11,0,In attitude,
84,42,0,I feel like you've gotten a little\ntaller.,
85,43,0,Really? I don't think I've grown\nthat much.,
86,23,0,"I think you did, but...",
87,41,0,So I didn't change that much after\nall...,
88,14,0,"Cheer up, Jou!",
89,38,0,Your eyes are shining with\nconfidence.,
90,64,0,"Honestly, when I was alone, I\ndecided to stop relying on others.",
91,63,0,"I was able to re-examine myself\nwhen I traveled alone, as well.",
92,39,0,"So it turned out for the better,\nright?",
93,7,0,It did!,
94,42,0,We shouldn't keep Gennai waiting\ntoo long.,
95,28,0,Let's hurry and meet Gennai.,
96,36,0,Talk with everyone for a bit longer.,
97,65,0,"A lot of stuff happened to\neveryone while we were separated,\nhuh.",
98,35,0,"A lot of stuff happened to us,\ntoo!",
99,4,0,Yup!,
100,72,0,"If it's all right with you,\nTakeru, I'd like to hear your\nstory as well.",
101,43,0,"Even after all this, Taichi's\nstill Taichi.",
102,34,0,"You seem pleased about that, Sora.",
103,54,0,"If Gennai turns out to be human,\nwould he be Japanese?",
104,89,0,"I don't know. There's a high\nprobability he's Japanese, but he\ncould also be a foreigner.",
105,54,0,I've met a surprising number of\nthose on the Internet.,
106,55,0,"Speaking of which, this garden\nlooks pretty suspicious.",
107,60,0,"Thinking about it again, every\ntime we went somewhere new...",
108,68,0,"I was always saying stuff like\n""There's got to be some humans\nhere!""",
109,40,0,"Now that I think about it, you're\nright.",
110,47,0,At least I've gotten pretty used\nto this world.,
