index,limit,speaker,original,translation
0,39,0,��������This is bad! This is baaaaaaad!,
1,23,0,Elecmon! What happened?,
2,33,0,Takeru! Patamon! We have trouble!,
3,19,0,"Calm down, Elecmon!",
4,42,0,The babies! My babies have been\nkidnapped!,
5,28,0,Kidnapped?! Are you serious?,
6,37,0,"Let's look for them together,\nTakeru!",
7,20,0,"We'll help out, too!",
8,5,0,Okay!,
9,55,0,"The kidnapped babies are Botamon,\nPunimon, and Yuramon.",
10,20,0,"Wait for us, babies!",
11,32,0,Looks like we've found everyone!,
12,17,0,"Good job, Takeru!",
13,16,0,"Thank you, guys!",
14,61,0,So the babies were safe after all!\nBut... why were they here?,
15,64,0,"No matter how you look at it, this\ndoesn't seem like kidnapping.",
16,55,0,"Anyway, we should go back to the\nVillage of Beginnings.",
17,37,0,"Yeah, you're right. Let's go,\nbabies.",
18,69,0,What on earth were you doing? I\nwas so sure you had been\nkidnapped...,
19,9,0,"*Bo, bo!*",
20,22,0,But... you're kidding!,
21,25,0,"What'd they say, Patamon?",
22,57,0,"Um, they said Elecmon's always\ntaking care of them, so...",
23,81,0,"...they wanted to sing a song to\nthank him, and had been practicing\nit in secret.",
24,4,0,Wow!,
25,48,0,You wanted to sing for me.\nAaaaaaaah! My babies!,
26,38,0,"Seems like they all like you,\nElecmon.",
27,29,0,"They understand you, Elecmon!",
28,65,0,Takeru! Patamon! Guys! I'm so\nsorry for causing all this\ntrouble!,
29,54,0,"Takeru! I'm sorry, thank you so\nmuch! Here, take this!",
30,33,0,"Are you sure? Thank you, Elecmon!",
31,60,0,You're welcome to come back and\nsee the babies' faces again!,
32,18,0,Okay! We'll do it!,
33,17,0,Ah! Here you are!,
34,29,0,"Thank goodness, my poor baby!",
35,21,0,"Ffffff, that tickles!",
36,36,0,Takeru can just pick one right\nup...,
37,35,0,"It's a baby! There's one here,\ntoo!",
38,30,0,"Thank goodness, thank goodess!",
39,21,0,Waaaah! That tickles!,
40,65,0,How sweet. I wish I could make\nfriends as easily as Takeru can...,
41,11,0,*muttering*,
42,23,0,"Haha, it's half-asleep!",
43,39,0,So these babies haven't been\nkidnapped.,
44,8,0,*zzzzzz*,
45,29,0,It's sleeping pretty soundly.,
46,32,0,There's nobody in this cradle...,
47,44,0,The babies! We have to help them\nright away!,
48,10,0,A DigiEgg!,
49,36,0,"If you rub it, a Digimon will\nhatch!",
50,24,0,Really!? I wanna rub it!,
51,47,0,"But Mimi, we have to find the\nkidnapped babies.",
52,39,0,"All right, let's keep looking for\nthem.",
